semana,total_usmer,posibles_usmer,positivos_usmer,pruebas_usmer,totales_nacional,estimados_posibles_nacional,estimados_positivos_nacional
1,34940,882,0,387,447517,15318,0
2,41737,2004,0,881,556882,34680,0
3,42633,2597,0,1057,582514,44262,0
4,46320,2870,0,1228,614805,46575,0
5,48565,2588,0,1049,636808,45287,0
6,41105,2530,0,1053,549314,43026,0
7,42570,2579,0,1083,570884,41460,0
8,43021,2452,3,966,583404,42008,122
9,42743,2575,3,1039,561670,43187,124
10,45022,2458,29,1021,606833,40522,823
11,41667,2910,177,1489,550761,48247,4523
12,48246,4058,309,2456,653081,69508,7352
13,33296,5416,648,3533,489523,93556,14478
14,20629,6304,1067,4011,296341,115051,28529
