estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,20,13,31,126,2739,3522,6256,2,180,198,1142,5735,160845,198949,390432,26,769,786,1114
Baja California,20,1764,859,1701,232,7891,10042,20780,15,1480,1768,4225,13225,257143,316405,576213,158,3379,3379,4435
Baja California Sur,4,363,238,194,212,6162,7414,14844,0,89,127,427,3394,93591,110965,231699,7,298,302,638
Campeche,0,122,76,147,84,2628,3292,6989,0,74,84,86,3455,92008,115385,233137,4,283,246,555
Coahuila,2,345,308,432,450,10502,12665,22049,476,14337,15021,32567,13365,284049,345002,601109,123,2153,2099,2260
Colima,6,152,92,147,108,4423,5541,10102,38,1751,1889,6279,3168,85366,98336,193915,7,360,293,777
Chiapas,10,926,747,1257,332,12093,15325,24160,93,3017,3686,4509,8287,265327,330507,590652,36,1155,1186,1771
Chihuahua,17,1178,1263,556,389,13021,16411,28117,481,6674,8188,14929,14023,314378,407468,802203,203,3776,4147,6665
Ciudad de México,4,268,180,474,813,21964,26273,34855,88,1487,1659,542,42548,821485,1099459,1740035,262,7957,7662,12804
Durango,0,91,46,167,198,5364,7302,13365,0,0,0,2,6859,195854,247104,474200,24,587,638,1162
Guanajuato,1,168,122,270,668,13242,18631,34495,31,317,331,283,18631,485274,603514,1156495,149,3541,3086,5073
Guerrero,29,2413,3101,1066,112,7849,11220,16894,200,10704,13330,21322,6150,236999,320568,547622,9,728,792,1964
Hidalgo,3,1745,2909,183,307,7579,11540,18485,50,25,38,19,11499,273377,371136,676323,62,1292,1155,2084
Jalisco,11,855,429,698,459,17192,20900,44238,285,3977,4416,9002,20364,528882,635604,1349394,360,9645,9985,20432
México,6,1704,2557,489,457,19663,27235,47029,221,6626,7808,10945,42401,1134411,1516121,2788144,193,6208,5629,8957
Michoacán,1,213,147,295,362,8953,12434,19610,28,875,1145,1648,11192,318986,415602,718048,30,1045,1134,2072
Morelos,2,916,1162,134,161,4530,6020,11164,2,405,608,958,6202,155175,197049,392350,9,379,365,605
Nayarit,83,751,481,274,363,7830,9770,16497,0,0,0,0,5393,136516,165230,288277,18,544,560,940
Nuevo León,7,748,411,1160,695,24776,30152,58300,25,365,388,1046,32974,636343,777307,1438384,181,3004,3144,4149
Oaxaca,9,510,432,582,384,13843,18088,26002,232,7258,9430,14594,10369,289233,363319,625046,48,1271,1349,2391
Puebla,2,211,159,407,267,11234,14702,24607,43,922,1084,3187,18098,525466,671856,1206454,42,2055,2042,3645
Querétaro,1,75,44,129,222,4786,6542,10261,1,19,57,58,8722,209676,265773,511549,56,1242,1127,1650
Quintana Roo,6,547,384,382,183,8971,10017,21207,1,6,7,28,4119,164864,183832,400704,21,661,491,941
San Luis Potosí,23,386,422,268,570,13172,16456,31136,8,201,200,150,10553,267906,336266,627621,75,1988,2063,3539
Sinaloa,29,2121,1054,850,439,13340,15720,34328,17,274,340,656,14010,336345,426448,851508,126,2380,2132,4219
Sonora,3,715,303,1007,240,7047,8836,15903,305,8603,10107,16666,11233,262996,324109,643894,109,3651,3418,8221
Tabasco,9,827,606,697,171,6293,8888,17302,121,3306,3986,4471,4571,182201,231531,418330,14,665,654,698
Tamaulipas,5,736,517,1177,984,27223,32307,63170,939,19552,22756,36754,19645,435873,515460,1041008,76,2203,2251,4504
Tlaxcala,5,134,112,27,189,4381,5877,10313,6,102,128,662,8444,168011,210517,389837,36,697,609,1142
Veracruz,60,2420,2043,2091,493,18178,24149,43597,429,4544,5559,11694,20447,521654,684555,1323676,64,1898,1997,3812
Yucatán,2,265,165,257,75,2359,2954,5905,0,20,13,83,7616,238249,287918,609665,24,887,914,2098
Zacatecas,1,489,369,69,616,13370,17599,29950,128,3624,4781,11170,11354,278407,341357,624936,82,1630,1665,2414
