AGUASCALIENTES	Aguascalientes
BAJA CALIFORNIA	Baja California
BAJA CALIFORNIA SUR	Baja California Sur
"BAJA CALIFORNIA 
SUR"	Baja California Sur
CAMPECHE	Campeche
CHIAPAS	Chiapas
CHIHUAHUA	Chihuahua
CIUDAD DE MEXICO	Ciudad de México
CIUDAD DE MÉXICO	Ciudad de México
DISTRITO FEDERAL	Ciudad de México
Ciudad de Mexico	Ciudad de México
COAHUILA	Coahuila
COLIMA	Colima
DURANGO	Durango
GUANAJUATO	Guanajuato
GUERRERO	Guerrero
HIDALGO	Hidalgo
JALISCO	Jalisco
MÉXICO	México
MEXICO	México
Mexico	México
MICHOACÁN	Michoacán
Michoacan	Michoacán
MICHOACAN	Michoacán
MORELOS	Morelos
NAYARIT	Nayarit
NUEVO LEÓN	Nuevo León
NUEVO LEON	Nuevo León
Nuevo Leon	Nuevo León
OAXACA	Oaxaca
PUEBLA	Puebla
QUERÉTARO	Querétaro
QUERETARO	Querétaro
Queretaro	Querétaro
QUINTANA ROO	Quintana Roo
SAN LUIS POTOSÍ	San Luis Potosí
SAN LUIS POTOSI	San Luis Potosí
San Luis Potosi	San Luis Potosí
SINALOA	Sinaloa
SONORA	Sonora
TABASCO	Tabasco
TAMAULIPAS	Tamaulipas
TLAXCALA	Tlaxcala
VERACRUZ	Veracruz
YUCATÁN	Yucatán
YUCATAN	Yucatán
Yucatan	Yucatán
ZACATECAS	Zacatecas
